district,date,month,year,visitors
Jagtial ,01-09-2018,September,2018,273121
Jagtial ,01-10-2018,October,2018,138206
Jagtial ,01-11-2018,November,2018,277997
Jagtial ,01-12-2018,December,2018,231323
Jangaon ,01-01-2018,January,2018,17180
Jangaon ,01-02-2018,February,2018,18600
Jangaon ,01-03-2018,March,2018,17300
Jangaon ,01-04-2018,April,2018,18100
Jangaon ,01-05-2018,May,2018,19660
Jangaon ,01-06-2018,June,2018,23050
Jangaon ,01-07-2018,July,2018,26280
Jangaon ,01-08-2018,August,2018,26020
Jangaon ,01-09-2018,September,2018,28830
Jangaon ,01-10-2018,October,2018,29470
Jangaon ,01-11-2018,November,2018,29570
Jangaon ,01-12-2018,December,2018,36962
Jayashankar Bhoopalpally,01-01-2018,January,2018,6519850
Jayashankar Bhoopalpally,01-02-2018,February,2018,8626250
Jayashankar Bhoopalpally,01-03-2018,March,2018,146150
Jayashankar Bhoopalpally,01-04-2018,April,2018,149150
Jayashankar Bhoopalpally,01-05-2018,May,2018,152050
Jayashankar Bhoopalpally,01-06-2018,June,2018,159400
Jayashankar Bhoopalpally,01-07-2018,July,2018,128550
Jayashankar Bhoopalpally,01-08-2018,August,2018,184700
Jayashankar Bhoopalpally,01-09-2018,September,2018,192300
Jayashankar Bhoopalpally,01-10-2018,October,2018,195400
Jayashankar Bhoopalpally,01-11-2018,November,2018,196500
Jayashankar Bhoopalpally,01-12-2018,December,2018,245625
Jogulamba Gadwal ,01-01-2018,January,2018,146441
Jogulamba Gadwal ,01-02-2018,February,2018,481110
Jogulamba Gadwal ,01-03-2018,March,2018,155013
Jogulamba Gadwal ,01-04-2018,April,2018,138673
Jogulamba Gadwal ,01-05-2018,May,2018,131426
Jogulamba Gadwal ,01-06-2018,June,2018,160182
Jogulamba Gadwal ,01-07-2018,July,2018,114951
Jogulamba Gadwal ,01-08-2018,August,2018,123733
Jogulamba Gadwal ,01-09-2018,September,2018,121710
Jogulamba Gadwal ,01-10-2018,October,2018,152898
Jogulamba Gadwal ,01-11-2018,November,2018,128075
Jogulamba Gadwal ,01-12-2018,December,2018,182333
Kamareddy ,01-01-2018,January,2018,44
Kamareddy ,01-02-2018,February,2018,44
Kamareddy ,01-03-2018,March,2018,45
Kamareddy ,01-04-2018,April,2018,45
Kamareddy ,01-05-2018,May,2018,49
Kamareddy ,01-06-2018,June,2018,56
Kamareddy ,01-07-2018,July,2018,48
Kamareddy ,01-08-2018,August,2018,55
Kamareddy ,01-09-2018,September,2018,40
Kamareddy ,01-10-2018,October,2018,62
Kamareddy ,01-11-2018,November,2018,41
Kamareddy ,01-12-2018,December,2018,43
Karimnagar ,01-01-2018,January,2018,13505
Karimnagar ,01-02-2018,February,2018,9330
Karimnagar ,01-03-2018,March,2018,7205
Karimnagar ,01-04-2018,April,2018,5830
Karimnagar ,01-05-2018,May,2018,5689
Karimnagar ,01-06-2018,June,2018,7180
Karimnagar ,01-07-2018,July,2018,6686
Karimnagar ,01-08-2018,August,2018,8480
Karimnagar ,01-09-2018,September,2018,8480
Karimnagar ,01-10-2018,October,2018,6118
Karimnagar ,01-11-2018,November,2018,7145
Karimnagar ,01-12-2018,December,2018,7800
Khammam,01-01-2018,January,2018,110094
Khammam,01-02-2018,February,2018,104444
Khammam,01-03-2018,March,2018,127152
Khammam,01-04-2018,April,2018,126553
Khammam,01-05-2018,May,2018,135189
Khammam,01-06-2018,June,2018,135988
Khammam,01-07-2018,July,2018,85932
Khammam,01-08-2018,August,2018,86309
Khammam,01-09-2018,September,2018,143465
Khammam,01-10-2018,October,2018,127645
Khammam,01-11-2018,November,2018,99070
Khammam,01-12-2018,December,2018,135600
Komaram Bheem Asifabad,01-01-2018,January,2018,2863
Komaram Bheem Asifabad,01-02-2018,February,2018,2736
Komaram Bheem Asifabad,01-03-2018,March,2018,1826
Komaram Bheem Asifabad,01-04-2018,April,2018,868
Komaram Bheem Asifabad,01-05-2018,May,2018,793
Komaram Bheem Asifabad,01-06-2018,June,2018,990
Komaram Bheem Asifabad,01-07-2018,July,2018,1954
Komaram Bheem Asifabad,01-08-2018,August,2018,2263
Komaram Bheem Asifabad,01-09-2018,September,2018,1819
Komaram Bheem Asifabad,01-10-2018,October,2018,2525
Komaram Bheem Asifabad,01-11-2018,November,2018,1741
Komaram Bheem Asifabad,01-12-2018,December,2018,2176
Mahabubabad ,01-01-2018,January,2018,14000
Mahabubabad ,01-02-2018,February,2018,14230
Mahabubabad ,01-03-2018,March,2018,13110
Mahabubabad ,01-04-2018,April,2018,12915
Mahabubabad ,01-05-2018,May,2018,12865
Mahabubabad ,01-06-2018,June,2018,13910
Mahabubabad ,01-07-2018,July,2018,13970
Mahabubabad ,01-08-2018,August,2018,13200
Mahabubabad ,01-09-2018,September,2018,13420
Mahabubabad ,01-10-2018,October,2018,13550
Mahabubabad ,01-11-2018,November,2018,13700
Mahabubabad ,01-12-2018,December,2018,17125
Mahbubnagar,01-01-2018,January,2018,156153
Mahbubnagar,01-02-2018,February,2018,788083
Mahbubnagar,01-03-2018,March,2018,166863
Mahbubnagar,01-04-2018,April,2018,196061
Mahbubnagar,01-05-2018,May,2018,193478
Mahbubnagar,01-06-2018,June,2018,165553
Mahbubnagar,01-07-2018,July,2018,161841
Mahbubnagar,01-08-2018,August,2018,169154
Mahbubnagar,01-09-2018,September,2018,167833
Mahbubnagar,01-10-2018,October,2018,193152
Mahbubnagar,01-11-2018,November,2018,295910
Mahbubnagar,01-12-2018,December,2018,198227
Mancherial,01-01-2018,January,2018,71955
Mancherial,01-02-2018,February,2018,38599
Mancherial,01-03-2018,March,2018,20749
Mancherial,01-04-2018,April,2018,38483
Mancherial,01-05-2018,May,2018,26179
Mancherial,01-06-2018,June,2018,31667
Mancherial,01-07-2018,July,2018,27937
Mancherial,01-08-2018,August,2018,31861
Mancherial,01-09-2018,September,2018,23141
Mancherial,01-10-2018,October,2018,30740
Mancherial,01-11-2018,November,2018,25197
Mancherial,01-12-2018,December,2018,31496
Medak ,01-01-2018,January,2018,100000
Medak ,01-02-2018,February,2018,1000000
Medak ,01-03-2018,March,2018,600000
Medak ,01-04-2018,April,2018,200000
Medak ,01-05-2018,May,2018,300000
Medak ,01-06-2018,June,2018,500000
Medak ,01-07-2018,July,2018,150000
Medak ,01-08-2018,August,2018,50000
Medak ,01-09-2018,September,2018,100000
Medak ,01-10-2018,October,2018,300000
Medak ,01-11-2018,November,2018,200000
Medak ,01-12-2018,December,2018,400000
Medchal ,01-01-2018,January,2018, 
Medchal ,01-02-2018,February,2018, 
Medchal ,01-03-2018,March,2018, 
Medchal ,01-04-2018,April,2018, 
Medchal ,01-05-2018,May,2018, 
Medchal ,01-06-2018,June,2018, 
Medchal ,01-07-2018,July,2018, 
Medchal ,01-08-2018,August,2018, 
Medchal ,01-09-2018,September,2018, 
Medchal ,01-10-2018,October,2018, 
Medchal ,01-11-2018,November,2018, 
Medchal ,01-12-2018,December,2018, 
Nagarkurnool ,01-01-2018,January,2018,228812
Nagarkurnool ,01-02-2018,February,2018,286258
Nagarkurnool ,01-03-2018,March,2018,184508
Nagarkurnool ,01-04-2018,April,2018,174592
Nagarkurnool ,01-05-2018,May,2018,183697
Nagarkurnool ,01-06-2018,June,2018,180010
Nagarkurnool ,01-07-2018,July,2018,93450
Nagarkurnool ,01-08-2018,August,2018,118010
Nagarkurnool ,01-09-2018,September,2018,118449
Nagarkurnool ,01-10-2018,October,2018,201050
Nagarkurnool ,01-11-2018,November,2018,121452
Nagarkurnool ,01-12-2018,December,2018,198637
Nalgonda,01-01-2018,January,2018,36205
Nalgonda,01-02-2018,February,2018,9971
Nalgonda,01-03-2018,March,2018,9677
Nalgonda,01-04-2018,April,2018,9779
Nalgonda,01-05-2018,May,2018,10241
Nalgonda,01-06-2018,June,2018,9066
Nalgonda,01-07-2018,July,2018,9668
Nalgonda,01-08-2018,August,2018,10135
Nalgonda,01-09-2018,September,2018,21365
Nalgonda,01-10-2018,October,2018,22332
Nalgonda,01-11-2018,November,2018,5422
Nalgonda,01-12-2018,December,2018,6777
Nirmal,01-01-2018,January,2018,480241
Nirmal,01-02-2018,February,2018,335447
Nirmal,01-03-2018,March,2018,328099
Nirmal,01-04-2018,April,2018,368645
Nirmal,01-05-2018,May,2018,342650
Nirmal,01-06-2018,June,2018,355197
Nirmal,01-07-2018,July,2018,335356
Nirmal,01-08-2018,August,2018,313910
Nirmal,01-09-2018,September,2018,293859
Nirmal,01-10-2018,October,2018,373291
Nirmal,01-11-2018,November,2018,289169
Nirmal,01-12-2018,December,2018,361461
Nizamabad,01-01-2018,January,2018,2495
Nizamabad,01-02-2018,February,2018,7152
Nizamabad,01-03-2018,March,2018,2903
Nizamabad,01-04-2018,April,2018,3550
Nizamabad,01-05-2018,May,2018,5360
Nizamabad,01-06-2018,June,2018,1761
Nizamabad,01-07-2018,July,2018,5882
Nizamabad,01-08-2018,August,2018,10525
Nizamabad,01-09-2018,September,2018,475
Nizamabad,01-10-2018,October,2018,490
Nizamabad,01-11-2018,November,2018,475
Nizamabad,01-12-2018,December,2018,355
Peddapalli,01-01-2018,January,2018,2670
Peddapalli,01-02-2018,February,2018,2695
Peddapalli,01-03-2018,March,2018,2325
Peddapalli,01-04-2018,April,2018,1940
Peddapalli,01-05-2018,May,2018,1499
Peddapalli,01-06-2018,June,2018,1580
Peddapalli,01-07-2018,July,2018,1580
Peddapalli,01-08-2018,August,2018,1595
Peddapalli,01-09-2018,September,2018,1475
Peddapalli,01-10-2018,October,2018,1545
Peddapalli,01-11-2018,November,2018,1655
Peddapalli,01-12-2018,December,2018,1695
Rajanna Sircilla ,01-01-2018,January,2018,2238074
Rajanna Sircilla ,01-02-2018,February,2018,1021787
Rajanna Sircilla ,01-03-2018,March,2018,1022669
Rajanna Sircilla ,01-04-2018,April,2018,833874
Rajanna Sircilla ,01-05-2018,May,2018,1021952
Rajanna Sircilla ,01-06-2018,June,2018,320886
Rajanna Sircilla ,01-07-2018,July,2018,937720
Rajanna Sircilla ,01-08-2018,August,2018,320952
Rajanna Sircilla ,01-09-2018,September,2018,818693
Rajanna Sircilla ,01-10-2018,October,2018,506563
Rajanna Sircilla ,01-11-2018,November,2018,840933
Rajanna Sircilla ,01-12-2018,December,2018,950128
Ranga Reddy,01-01-2018,January,2018, 
Ranga Reddy,01-02-2018,February,2018, 
Ranga Reddy,01-03-2018,March,2018, 
Ranga Reddy,01-04-2018,April,2018, 
Ranga Reddy,01-05-2018,May,2018, 
Ranga Reddy,01-06-2018,June,2018, 
Ranga Reddy,01-07-2018,July,2018, 
Ranga Reddy,01-08-2018,August,2018, 
Ranga Reddy,01-09-2018,September,2018, 
Ranga Reddy,01-10-2018,October,2018, 
Ranga Reddy,01-11-2018,November,2018, 
Ranga Reddy,01-12-2018,December,2018, 
Sangareddy ,01-01-2018,January,2018,254000
Sangareddy ,01-02-2018,February,2018,540000
Sangareddy ,01-03-2018,March,2018,158500
Sangareddy ,01-04-2018,April,2018,162500
Sangareddy ,01-05-2018,May,2018,157000
Sangareddy ,01-06-2018,June,2018,93500
Sangareddy ,01-07-2018,July,2018,108600
Sangareddy ,01-08-2018,August,2018,205000
Sangareddy ,01-09-2018,September,2018,125000
Sangareddy ,01-10-2018,October,2018,171800
Sangareddy ,01-11-2018,November,2018,160000
Sangareddy ,01-12-2018,December,2018,134000
Siddipet,01-01-2018,January,2018,253000
Siddipet,01-02-2018,February,2018,44000
Siddipet,01-03-2018,March,2018,164800
Siddipet,01-04-2018,April,2018,115000
Siddipet,01-05-2018,May,2018,165200
Siddipet,01-06-2018,June,2018,104300
Siddipet,01-07-2018,July,2018,54000
Siddipet,01-08-2018,August,2018,100000
Siddipet,01-09-2018,September,2018,55000
Siddipet,01-10-2018,October,2018,43000
Siddipet,01-11-2018,November,2018,135000
Siddipet,01-12-2018,December,2018,50000
Suryapet,01-01-2018,January,2018,
Suryapet,01-02-2018,February,2018,
Suryapet,01-03-2018,March,2018,
Suryapet,01-04-2018,April,2018,
Suryapet,01-05-2018,May,2018,
Suryapet,01-06-2018,June,2018,
Suryapet,01-07-2018,July,2018,
Suryapet,01-08-2018,August,2018,
Suryapet,01-09-2018,September,2018,
Suryapet,01-10-2018,October,2018,
Suryapet,01-11-2018,November,2018,
Suryapet,01-12-2018,December,2018,
Vikarabad,01-01-2018,January,2018, 
Vikarabad,01-02-2018,February,2018, 
Vikarabad,01-03-2018,March,2018, 
Vikarabad,01-04-2018,April,2018, 
Vikarabad,01-05-2018,May,2018, 
Vikarabad,01-06-2018,June,2018, 
Vikarabad,01-07-2018,July,2018, 
Vikarabad,01-08-2018,August,2018, 
Vikarabad,01-09-2018,September,2018, 
Vikarabad,01-10-2018,October,2018, 
Vikarabad,01-11-2018,November,2018, 
Vikarabad,01-12-2018,December,2018, 
Wanaparthy ,01-01-2018,January,2018,28131
Wanaparthy ,01-02-2018,February,2018,22341
Wanaparthy ,01-03-2018,March,2018,20050
Wanaparthy ,01-04-2018,April,2018,10550
Wanaparthy ,01-05-2018,May,2018,11502
Wanaparthy ,01-06-2018,June,2018,19092
Wanaparthy ,01-07-2018,July,2018,32625
Wanaparthy ,01-08-2018,August,2018,35860
Wanaparthy ,01-09-2018,September,2018,32002
Wanaparthy ,01-10-2018,October,2018,21234
Wanaparthy ,01-11-2018,November,2018,32657
Wanaparthy ,01-12-2018,December,2018,20556
Warangal (Rural),01-01-2018,January,2018,25200
Warangal (Rural),01-02-2018,February,2018,26300
Warangal (Rural),01-03-2018,March,2018,26200
Warangal (Rural),01-04-2018,April,2018,21600
Warangal (Rural),01-05-2018,May,2018,22100
Warangal (Rural),01-06-2018,June,2018,23100
Warangal (Rural),01-07-2018,July,2018,25900
Warangal (Rural),01-08-2018,August,2018,25700
Warangal (Rural),01-09-2018,September,2018,25800
Warangal (Rural),01-10-2018,October,2018,26000
Warangal (Rural),01-11-2018,November,2018,24050
Warangal (Rural),01-12-2018,December,2018,30062
Warangal (Urban),01-01-2018,January,2018,137530
Warangal (Urban),01-02-2018,February,2018,145750
Warangal (Urban),01-03-2018,March,2018,140300
Warangal (Urban),01-04-2018,April,2018,142510
Warangal (Urban),01-05-2018,May,2018,143425
Warangal (Urban),01-06-2018,June,2018,135615
Warangal (Urban),01-07-2018,July,2018,136560
Warangal (Urban),01-08-2018,August,2018,136760
Warangal (Urban),01-09-2018,September,2018,138780
Warangal (Urban),01-10-2018,October,2018,140948
Warangal (Urban),01-11-2018,November,2018,144515
Warangal (Urban),01-12-2018,December,2018,180643
Yadadri Bhongir,01-01-2018,January,2018,2016000
Yadadri Bhongir,01-02-2018,February,2018,3073872
Yadadri Bhongir,01-03-2018,March,2018,2836580
Yadadri Bhongir,01-04-2018,April,2018,692370
Yadadri Bhongir,01-05-2018,May,2018,781842
Yadadri Bhongir,01-06-2018,June,2018,577570
Yadadri Bhongir,01-07-2018,July,2018,671156
Yadadri Bhongir,01-08-2018,August,2018,526445
Yadadri Bhongir,01-09-2018,September,2018,819350
Yadadri Bhongir,01-10-2018,October,2018,586475
Yadadri Bhongir,01-11-2018,November,2018,485208
Yadadri Bhongir,01-12-2018,December,2018,606510
