order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,In Full,On Time,On Time In Full
FMR32720302,01-Mar-22,789720,25891102,402,02-Mar-22,02-Mar-22,402,1,1,1
FMR33720202,01-Mar-22,789720,25891102,483,03-Mar-22,03-Mar-22,483,1,1,1
FMR34321602,01-Mar-22,789321,25891102,368,04-Mar-22,04-Mar-22,331,0,1,0
FMR32103503,01-Mar-22,789103,25891102,307,02-Mar-22,02-Mar-22,246,0,1,0
FMR32421102,01-Mar-22,789421,25891102,309,02-Mar-22,04-Mar-22,278,0,0,0
FMR34421301,01-Mar-22,789421,25891102,412,04-Mar-22,04-Mar-22,391,0,1,0
FMR34320102,01-Mar-22,789320,25891102,432,04-Mar-22,05-Mar-22,432,1,0,1
FMR32420102,01-Mar-22,789420,25891102,310,02-Mar-22,05-Mar-22,310,1,0,1
FMR32702601,01-Mar-22,789702,25891102,478,02-Mar-22,02-Mar-22,454,0,1,0
FMR34220601,01-Mar-22,789220,25891102,473,04-Mar-22,04-Mar-22,473,1,1,1
FMR34201202,01-Mar-22,789201,25891102,372,04-Mar-22,04-Mar-22,353,0,1,0
FMR32102102,01-Mar-22,789102,25891102,496,02-Mar-22,01-Mar-22,496,1,1,1
FMR34122102,01-Mar-22,789122,25891102,443,04-Mar-22,06-Mar-22,399,0,0,0
FMR33621102,01-Mar-22,789621,25891102,480,03-Mar-22,06-Mar-22,480,1,0,1
FMR32622502,01-Mar-22,789622,25891502,153,02-Mar-22,02-Mar-22,138,0,1,0
FMR33622502,01-Mar-22,789622,25891502,132,03-Mar-22,03-Mar-22,132,1,1,1
FMR32420602,01-Mar-22,789420,25891502,165,02-Mar-22,04-Mar-22,157,0,0,0
FMR32201502,01-Mar-22,789201,25891502,160,02-Mar-22,02-Mar-22,160,1,1,1
FMR33220603,01-Mar-22,789220,25891502,211,03-Mar-22,03-Mar-22,211,1,1,1
FMR33202502,01-Mar-22,789202,25891502,141,03-Mar-22,03-Mar-22,134,0,1,0
FMR33520502,01-Mar-22,789520,25891502,173,03-Mar-22,06-Mar-22,173,1,0,1
FMR34520503,01-Mar-22,789520,25891502,143,04-Mar-22,07-Mar-22,129,0,0,0
FMR33503502,01-Mar-22,789503,25891502,238,03-Mar-22,03-Mar-22,238,1,1,1
FMR34503502,01-Mar-22,789503,25891502,231,04-Mar-22,03-Mar-22,231,1,1,1
FMR33401603,01-Mar-22,789401,25891502,140,03-Mar-22,03-Mar-22,133,0,1,0
FMR34401503,01-Mar-22,789401,25891502,200,04-Mar-22,04-Mar-22,200,1,1,1
FMR34721502,01-Mar-22,789721,25891502,123,04-Mar-22,05-Mar-22,98,0,0,0
FMR34702502,01-Mar-22,789702,25891502,239,04-Mar-22,04-Mar-22,215,0,1,0
FMR33521502,01-Mar-22,789521,25891502,167,03-Mar-22,05-Mar-22,167,1,0,1
FMR33520502,01-Mar-22,789520,25891403,359,03-Mar-22,06-Mar-22,341,0,0,0
FMR33320501,01-Mar-22,789320,25891403,239,03-Mar-22,03-Mar-22,239,1,1,1
FMR34422403,01-Mar-22,789422,25891403,265,04-Mar-22,06-Mar-22,252,0,0,0
FMR32903403,01-Mar-22,789903,25891403,244,02-Mar-22,02-Mar-22,220,0,1,0
FMR32420403,01-Mar-22,789420,25891403,397,02-Mar-22,02-Mar-22,318,0,1,0
FMR33101403,01-Mar-22,789101,25891403,315,03-Mar-22,03-Mar-22,283,0,1,0
FMR32202603,01-Mar-22,789202,25891403,440,02-Mar-22,02-Mar-22,440,1,1,1
FMR34303602,01-Mar-22,789303,25891403,427,04-Mar-22,04-Mar-22,406,0,1,0
FMR32121403,01-Mar-22,789121,25891403,441,02-Mar-22,02-Mar-22,441,1,1,1
FMR34522403,01-Mar-22,789522,25891403,320,04-Mar-22,05-Mar-22,320,1,0,1
FMR34103403,01-Mar-22,789103,25891403,467,04-Mar-22,04-Mar-22,420,0,1,0
FMR32220503,01-Mar-22,789220,25891403,465,02-Mar-22,02-Mar-22,372,0,1,0
FMR32622503,01-Mar-22,789622,25891503,208,02-Mar-22,01-Mar-22,198,0,1,0
FMR34622602,01-Mar-22,789622,25891503,241,04-Mar-22,04-Mar-22,241,1,1,1
FMR33720503,01-Mar-22,789720,25891503,146,03-Mar-22,04-Mar-22,146,1,0,1
FMR32220503,01-Mar-22,789220,25891503,115,02-Mar-22,02-Mar-22,103,0,1,0
FMR33220603,01-Mar-22,789220,25891503,239,03-Mar-22,03-Mar-22,239,1,1,1
FMR34321602,01-Mar-22,789321,25891503,246,04-Mar-22,04-Mar-22,246,1,1,1
FMR32221603,01-Mar-22,789221,25891503,158,02-Mar-22,02-Mar-22,158,1,1,1
FMR33221503,01-Mar-22,789221,25891503,106,03-Mar-22,03-Mar-22,101,0,1,0
FMR32103503,01-Mar-22,789103,25891503,126,02-Mar-22,02-Mar-22,120,0,1,0
FMR33401603,01-Mar-22,789401,25891503,161,03-Mar-22,03-Mar-22,145,0,1,0
FMR34401503,01-Mar-22,789401,25891503,192,04-Mar-22,04-Mar-22,192,1,1,1
FMR34721503,01-Mar-22,789721,25891503,144,04-Mar-22,04-Mar-22,137,0,1,0
FMR33320503,01-Mar-22,789320,25891503,140,03-Mar-22,06-Mar-22,140,1,0,1
FMR34520503,01-Mar-22,789520,25891503,233,04-Mar-22,07-Mar-22,221,0,0,0
FMR32101601,01-Mar-22,789101,25891503,183,02-Mar-22,02-Mar-22,183,1,1,1
FMR32422503,01-Mar-22,789422,25891503,138,02-Mar-22,03-Mar-22,110,0,0,0
FMR34603302,01-Mar-22,789603,25891103,378,04-Mar-22,04-Mar-22,378,1,1,1
FMR34702602,01-Mar-22,789702,25891103,480,04-Mar-22,03-Mar-22,432,0,1,0
FMR32601103,01-Mar-22,789601,25891103,310,02-Mar-22,02-Mar-22,294,0,1,0
FMR34601402,01-Mar-22,789601,25891103,388,04-Mar-22,04-Mar-22,310,0,1,0
FMR33303501,01-Mar-22,789303,25891103,335,03-Mar-22,03-Mar-22,335,1,1,1
FMR32621103,01-Mar-22,789621,25891103,431,02-Mar-22,02-Mar-22,431,1,1,1
FMR34621103,01-Mar-22,789621,25891103,357,04-Mar-22,04-Mar-22,339,0,1,0
FMR32501601,01-Mar-22,789501,25891103,318,02-Mar-22,02-Mar-22,318,1,1,1
FMR33501401,01-Mar-22,789501,25891103,400,03-Mar-22,03-Mar-22,400,1,1,1
FMR34501203,01-Mar-22,789501,25891103,327,04-Mar-22,04-Mar-22,327,1,1,1
FMR34402202,01-Mar-22,789402,25891103,340,04-Mar-22,04-Mar-22,272,0,1,0
FMR32221603,01-Mar-22,789221,25891103,430,02-Mar-22,02-Mar-22,430,1,1,1
FMR33522103,01-Mar-22,789522,25891103,384,03-Mar-22,04-Mar-22,384,1,0,1
FMR33503502,01-Mar-22,789503,25891103,325,03-Mar-22,03-Mar-22,309,0,1,0
FMR33122301,01-Mar-22,789122,25891103,403,03-Mar-22,05-Mar-22,403,1,0,1
FMR34122103,01-Mar-22,789122,25891103,458,04-Mar-22,03-Mar-22,458,1,1,1
FMR32401103,01-Mar-22,789401,25891103,476,02-Mar-22,02-Mar-22,476,1,1,1
FMR34301103,01-Mar-22,789301,25891103,351,04-Mar-22,06-Mar-22,351,1,0,1
FMR34902103,01-Mar-22,789902,25891103,456,04-Mar-22,06-Mar-22,410,0,0,0
FMR32202603,01-Mar-22,789202,25891103,389,02-Mar-22,02-Mar-22,370,0,1,0
FMR34721103,01-Mar-22,789721,25891103,468,04-Mar-22,06-Mar-22,468,1,0,1
FMR33420203,01-Mar-22,789420,25891103,357,03-Mar-22,06-Mar-22,357,1,0,1
FMR34420402,01-Mar-22,789420,25891103,325,04-Mar-22,05-Mar-22,325,1,0,1
FMR32321103,01-Mar-22,789321,25891103,478,02-Mar-22,03-Mar-22,478,1,0,1
FMR33321602,01-Mar-22,789321,25891103,465,03-Mar-22,03-Mar-22,419,0,1,0
FMR32422401,01-Mar-22,789422,25891103,317,02-Mar-22,04-Mar-22,317,1,0,1
FMR34522601,01-Mar-22,789522,25891601,181,04-Mar-22,07-Mar-22,163,0,0,0
FMR32202603,01-Mar-22,789202,25891601,125,02-Mar-22,02-Mar-22,119,0,1,0
FMR32702601,01-Mar-22,789702,25891601,93,02-Mar-22,02-Mar-22,74,0,1,0
FMR33520601,01-Mar-22,789520,25891601,182,03-Mar-22,05-Mar-22,146,0,0,0
FMR32902601,01-Mar-22,789902,25891601,93,02-Mar-22,03-Mar-22,88,0,0,0
FMR33103602,01-Mar-22,789103,25891601,188,03-Mar-22,03-Mar-22,150,0,1,0
FMR33201602,01-Mar-22,789201,25891601,180,03-Mar-22,03-Mar-22,171,0,1,0
FMR34622602,01-Mar-22,789622,25891601,96,04-Mar-22,04-Mar-22,91,0,1,0
FMR32101601,01-Mar-22,789101,25891601,124,02-Mar-22,02-Mar-22,124,1,1,1
FMR34220601,01-Mar-22,789220,25891601,78,04-Mar-22,04-Mar-22,78,1,1,1
FMR34122601,01-Mar-22,789122,25891601,68,04-Mar-22,07-Mar-22,61,0,0,0
FMR33321601,01-Mar-22,789321,25891601,157,03-Mar-22,05-Mar-22,157,1,0,1
FMR33903601,01-Mar-22,789903,25891601,93,03-Mar-22,03-Mar-22,84,0,1,0
FMR34621601,01-Mar-22,789621,25891601,170,04-Mar-22,07-Mar-22,170,1,0,1
FMR32421601,01-Mar-22,789421,25891601,108,02-Mar-22,02-Mar-22,103,0,1,0
FMR34421601,01-Mar-22,789421,25891601,75,04-Mar-22,05-Mar-22,75,1,0,1
FMR33102601,01-Mar-22,789102,25891601,180,03-Mar-22,03-Mar-22,180,1,1,1
FMR34203601,01-Mar-22,789203,25891601,110,04-Mar-22,04-Mar-22,110,1,1,1
FMR32501601,01-Mar-22,789501,25891601,139,02-Mar-22,02-Mar-22,139,1,1,1
FMR34420402,01-Mar-22,789420,25891402,353,04-Mar-22,05-Mar-22,353,1,0,1
FMR34401402,01-Mar-22,789401,25891402,468,04-Mar-22,06-Mar-22,468,1,0,1
FMR34720402,01-Mar-22,789720,25891402,472,04-Mar-22,05-Mar-22,448,0,0,0
FMR34721503,01-Mar-22,789721,25891402,436,04-Mar-22,04-Mar-22,414,0,1,0
FMR34601402,01-Mar-22,789601,25891402,208,04-Mar-22,04-Mar-22,208,1,1,1
FMR32520603,01-Mar-22,789520,25891402,287,02-Mar-22,02-Mar-22,258,0,1,0
FMR33503502,01-Mar-22,789503,25891402,450,03-Mar-22,03-Mar-22,450,1,1,1
FMR32203402,01-Mar-22,789203,25891402,488,02-Mar-22,02-Mar-22,488,1,1,1
FMR32902402,01-Mar-22,789902,25891402,405,02-Mar-22,02-Mar-22,405,1,1,1
FMR33321602,01-Mar-22,789321,25891402,283,03-Mar-22,03-Mar-22,283,1,1,1
FMR33122402,01-Mar-22,789122,25891402,460,03-Mar-22,06-Mar-22,437,0,0,0
FMR34122402,01-Mar-22,789122,25891402,256,04-Mar-22,04-Mar-22,205,0,1,0
FMR34621601,01-Mar-22,789621,25891402,220,04-Mar-22,07-Mar-22,220,1,0,1
FMR32221402,01-Mar-22,789221,25891402,384,02-Mar-22,03-Mar-22,384,1,0,1
FMR33221402,01-Mar-22,789221,25891402,342,03-Mar-22,04-Mar-22,342,1,0,1
FMR32622402,01-Mar-22,789622,25891402,309,02-Mar-22,03-Mar-22,247,0,0,0
FMR34622602,01-Mar-22,789622,25891402,462,04-Mar-22,04-Mar-22,439,0,1,0
FMR32202402,01-Mar-22,789202,25891402,442,02-Mar-22,03-Mar-22,442,1,0,1
FMR34301602,01-Mar-22,789301,25891201,308,04-Mar-22,04-Mar-22,308,1,1,1
FMR33521201,01-Mar-22,789521,25891201,487,03-Mar-22,04-Mar-22,463,0,0,0
FMR33401603,01-Mar-22,789401,25891201,461,03-Mar-22,03-Mar-22,461,1,1,1
FMR33320501,01-Mar-22,789320,25891201,354,03-Mar-22,03-Mar-22,354,1,1,1
FMR32321201,01-Mar-22,789321,25891201,374,02-Mar-22,02-Mar-22,374,1,1,1
FMR34102602,01-Mar-22,789102,25891201,440,04-Mar-22,04-Mar-22,440,1,1,1
FMR32103503,01-Mar-22,789103,25891201,112,02-Mar-22,02-Mar-22,101,0,1,0
FMR32501201,01-Mar-22,789501,25891201,273,02-Mar-22,01-Mar-22,273,1,1,1
FMR34220601,01-Mar-22,789220,25891201,378,04-Mar-22,04-Mar-22,378,1,1,1
FMR34702502,01-Mar-22,789702,25891201,156,04-Mar-22,04-Mar-22,156,1,1,1
FMR34201201,01-Mar-22,789201,25891201,291,04-Mar-22,05-Mar-22,233,0,0,0
FMR32622502,01-Mar-22,789622,25891201,274,02-Mar-22,02-Mar-22,247,0,1,0
FMR34101201,01-Mar-22,789101,25891201,489,04-Mar-22,05-Mar-22,489,1,0,1
FMR34520602,01-Mar-22,789520,25891501,204,04-Mar-22,06-Mar-22,184,0,0,0
FMR33203603,01-Mar-22,789203,25891501,104,03-Mar-22,03-Mar-22,104,1,1,1
FMR34420501,01-Mar-22,789420,25891501,210,04-Mar-22,06-Mar-22,210,1,0,1
FMR33403501,01-Mar-22,789403,25891501,241,03-Mar-22,03-Mar-22,229,0,1,0
FMR34121501,01-Mar-22,789121,25891501,159,04-Mar-22,03-Mar-22,127,0,1,0
FMR34903603,01-Mar-22,789903,25891501,136,04-Mar-22,04-Mar-22,136,1,1,1
FMR33320501,01-Mar-22,789320,25891501,249,03-Mar-22,03-Mar-22,249,1,1,1
FMR32221603,01-Mar-22,789221,25891501,140,02-Mar-22,02-Mar-22,140,1,1,1
FMR32101601,01-Mar-22,789101,25891501,241,02-Mar-22,02-Mar-22,241,1,1,1
FMR33303501,01-Mar-22,789303,25891501,105,03-Mar-22,03-Mar-22,105,1,1,1
FMR32102602,01-Mar-22,789102,25891501,114,02-Mar-22,02-Mar-22,91,0,1,0
FMR32402602,01-Mar-22,789402,25891501,223,02-Mar-22,02-Mar-22,223,1,1,1
FMR33720501,01-Mar-22,789720,25891501,182,03-Mar-22,02-Mar-22,182,1,1,1
FMR32301603,01-Mar-22,789301,25891501,238,02-Mar-22,02-Mar-22,238,1,1,1
FMR34301602,01-Mar-22,789301,25891602,92,04-Mar-22,04-Mar-22,83,0,1,0
FMR34303602,01-Mar-22,789303,25891602,98,04-Mar-22,04-Mar-22,98,1,1,1
FMR34702602,01-Mar-22,789702,25891602,155,04-Mar-22,03-Mar-22,155,1,1,1
FMR32102602,01-Mar-22,789102,25891602,63,02-Mar-22,02-Mar-22,63,1,1,1
FMR34102602,01-Mar-22,789102,25891602,154,04-Mar-22,04-Mar-22,154,1,1,1
FMR34703602,01-Mar-22,789703,25891602,163,04-Mar-22,04-Mar-22,163,1,1,1
FMR32420602,01-Mar-22,789420,25891602,76,02-Mar-22,04-Mar-22,76,1,0,1
FMR33321602,01-Mar-22,789321,25891602,78,03-Mar-22,03-Mar-22,74,0,1,0
FMR34321602,01-Mar-22,789321,25891602,60,04-Mar-22,04-Mar-22,60,1,1,1
FMR32402602,01-Mar-22,789402,25891602,172,02-Mar-22,02-Mar-22,163,0,1,0
FMR33203603,01-Mar-22,789203,25891602,184,03-Mar-22,03-Mar-22,184,1,1,1
FMR32103602,01-Mar-22,789103,25891602,86,02-Mar-22,01-Mar-22,77,0,1,0
FMR33103602,01-Mar-22,789103,25891602,172,03-Mar-22,03-Mar-22,163,0,1,0
FMR33201602,01-Mar-22,789201,25891602,52,03-Mar-22,03-Mar-22,52,1,1,1
FMR34320602,01-Mar-22,789320,25891602,190,04-Mar-22,04-Mar-22,190,1,1,1
FMR34520602,01-Mar-22,789520,25891602,164,04-Mar-22,06-Mar-22,131,0,0,0
FMR34622602,01-Mar-22,789622,25891602,54,04-Mar-22,04-Mar-22,54,1,1,1
FMR32220602,01-Mar-22,789220,25891602,77,02-Mar-22,01-Mar-22,77,1,1,1
FMR33220603,01-Mar-22,789220,25891602,65,03-Mar-22,03-Mar-22,65,1,1,1
FMR33721603,01-Mar-22,789721,25891602,148,03-Mar-22,03-Mar-22,148,1,1,1
FMR33501401,01-Mar-22,789501,25891101,484,03-Mar-22,03-Mar-22,484,1,1,1
FMR32101601,01-Mar-22,789101,25891101,474,02-Mar-22,02-Mar-22,474,1,1,1
FMR33101403,01-Mar-22,789101,25891101,349,03-Mar-22,03-Mar-22,349,1,1,1
FMR32703401,01-Mar-22,789703,25891101,492,02-Mar-22,02-Mar-22,492,1,1,1
FMR33321602,01-Mar-22,789321,25891101,345,03-Mar-22,03-Mar-22,345,1,1,1
FMR32203101,01-Mar-22,789203,25891101,409,02-Mar-22,04-Mar-22,389,0,0,0
FMR33203603,01-Mar-22,789203,25891101,368,03-Mar-22,03-Mar-22,294,0,1,0
FMR32903403,01-Mar-22,789903,25891101,343,02-Mar-22,02-Mar-22,326,0,1,0
FMR34122303,01-Mar-22,789122,25891101,410,04-Mar-22,05-Mar-22,390,0,0,0
FMR33202502,01-Mar-22,789202,25891101,391,03-Mar-22,03-Mar-22,391,1,1,1
FMR34202301,01-Mar-22,789202,25891101,431,04-Mar-22,04-Mar-22,431,1,1,1
FMR33403501,01-Mar-22,789403,25891101,379,03-Mar-22,03-Mar-22,379,1,1,1
FMR34401102,01-Mar-22,789401,25891101,454,04-Mar-22,03-Mar-22,454,1,1,1
FMR33503502,01-Mar-22,789503,25891101,362,03-Mar-22,03-Mar-22,362,1,1,1
FMR33420101,01-Mar-22,789420,25891101,306,03-Mar-22,04-Mar-22,306,1,0,1
FMR34420501,01-Mar-22,789420,25891101,494,04-Mar-22,06-Mar-22,494,1,0,1
FMR34622101,01-Mar-22,789622,25891101,423,04-Mar-22,03-Mar-22,402,0,1,0
FMR34520301,01-Mar-22,789520,25891101,428,04-Mar-22,04-Mar-22,385,0,1,0
FMR34422101,01-Mar-22,789422,25891101,444,04-Mar-22,05-Mar-22,444,1,0,1
FMR34603401,01-Mar-22,789603,25891401,313,04-Mar-22,05-Mar-22,313,1,0,1
FMR33501401,01-Mar-22,789501,25891401,288,03-Mar-22,03-Mar-22,259,0,1,0
FMR32503401,01-Mar-22,789503,25891401,449,02-Mar-22,02-Mar-22,449,1,1,1
FMR33202502,01-Mar-22,789202,25891401,215,03-Mar-22,03-Mar-22,215,1,1,1
FMR34702502,01-Mar-22,789702,25891401,355,04-Mar-22,04-Mar-22,337,0,1,0
FMR32703401,01-Mar-22,789703,25891401,234,02-Mar-22,02-Mar-22,234,1,1,1
FMR32422401,01-Mar-22,789422,25891401,342,02-Mar-22,04-Mar-22,342,1,0,1
FMR32122401,01-Mar-22,789122,25891401,240,02-Mar-22,04-Mar-22,228,0,0,0
FMR33201602,01-Mar-22,789201,25891401,480,03-Mar-22,03-Mar-22,456,0,1,0
FMR33103401,01-Mar-22,789103,25891401,306,03-Mar-22,02-Mar-22,291,0,1,0
FMR34103403,01-Mar-22,789103,25891401,399,04-Mar-22,04-Mar-22,359,0,1,0
FMR32403401,01-Mar-22,789403,25891401,473,02-Mar-22,02-Mar-22,473,1,1,1
FMR32520603,01-Mar-22,789520,25891603,67,02-Mar-22,02-Mar-22,64,0,1,0
FMR33220603,01-Mar-22,789220,25891603,51,03-Mar-22,03-Mar-22,46,0,1,0
FMR33603603,01-Mar-22,789603,25891603,183,03-Mar-22,05-Mar-22,183,1,0,1
FMR32221603,01-Mar-22,789221,25891603,100,02-Mar-22,02-Mar-22,80,0,1,0
FMR33401603,01-Mar-22,789401,25891603,127,03-Mar-22,03-Mar-22,127,1,1,1
FMR33420603,01-Mar-22,789420,25891603,129,03-Mar-22,03-Mar-22,129,1,1,1
FMR32121603,01-Mar-22,789121,25891603,200,02-Mar-22,04-Mar-22,180,0,0,0
FMR32421603,01-Mar-22,789421,25891603,172,02-Mar-22,05-Mar-22,155,0,0,0
FMR32903603,01-Mar-22,789903,25891603,128,02-Mar-22,03-Mar-22,115,0,0,0
FMR34903603,01-Mar-22,789903,25891603,148,04-Mar-22,04-Mar-22,133,0,1,0
FMR33703603,01-Mar-22,789703,25891603,165,03-Mar-22,03-Mar-22,165,1,1,1
FMR32303603,01-Mar-22,789303,25891603,169,02-Mar-22,02-Mar-22,169,1,1,1
FMR32301603,01-Mar-22,789301,25891603,134,02-Mar-22,02-Mar-22,121,0,1,0
FMR33203603,01-Mar-22,789203,25891603,122,03-Mar-22,03-Mar-22,122,1,1,1
FMR32202603,01-Mar-22,789202,25891603,186,02-Mar-22,02-Mar-22,186,1,1,1
FMR32721603,01-Mar-22,789721,25891603,140,02-Mar-22,02-Mar-22,126,0,1,0
FMR33721603,01-Mar-22,789721,25891603,195,03-Mar-22,03-Mar-22,195,1,1,1
FMR33621603,01-Mar-22,789621,25891603,69,03-Mar-22,03-Mar-22,69,1,1,1
FMR32102202,01-Mar-22,789102,25891202,106,02-Mar-22,03-Mar-22,106,1,0,1
FMR33102601,01-Mar-22,789102,25891202,419,03-Mar-22,03-Mar-22,419,1,1,1
FMR33402303,01-Mar-22,789402,25891202,167,03-Mar-22,03-Mar-22,167,1,1,1
FMR34402202,01-Mar-22,789402,25891202,457,04-Mar-22,04-Mar-22,457,1,1,1
FMR33622502,01-Mar-22,789622,25891202,294,03-Mar-22,03-Mar-22,294,1,1,1
